Offer                                         Publisher    Sku                           Urn                                                                                          Version
0001-com-ubuntu-minimal-groovy-daily          Canonical    minimal-20_10-daily-gen2      Canonical:0001-com-ubuntu-minimal-groovy-daily:minimal-20_10-daily-gen2:20.10.202011130      20.10.202011130
0001-com-ubuntu-minimal-groovy-daily          Canonical    minimal-20_10-daily-gen2      Canonical:0001-com-ubuntu-minimal-groovy-daily:minimal-20_10-daily-gen2:20.10.202011230      20.10.202011230
0001-com-ubuntu-minimal-groovy-daily          Canonical    minimal-20_10-daily-gen2      Canonical:0001-com-ubuntu-minimal-groovy-daily:minimal-20_10-daily-gen2:20.10.202011260      20.10.202011260
0001-com-ubuntu-minimal-groovy-daily          Canonical    minimal-20_10-daily-gen2      Canonical:0001-com-ubuntu-minimal-groovy-daily:minimal-20_10-daily-gen2:20.10.202012010      20.10.202012010
0001-com-ubuntu-minimal-hirsute-daily         Canonical    minimal-21_04-daily           Canonical:0001-com-ubuntu-minimal-hirsute-daily:minimal-21_04-daily:21.04.202112150          21.04.202112150
0001-com-ubuntu-minimal-hirsute-daily         Canonical    minimal-21_04-daily           Canonical:0001-com-ubuntu-minimal-hirsute-daily:minimal-21_04-daily:21.04.202112160          21.04.202112160
0001-com-ubuntu-minimal-hirsute-daily         Canonical    minimal-21_04-daily           Canonical:0001-com-ubuntu-minimal-hirsute-daily:minimal-21_04-daily:21.04.202201050          21.04.202201050
0001-com-ubuntu-minimal-hirsute-daily         Canonical    minimal-21_04-daily           Canonical:0001-com-ubuntu-minimal-hirsute-daily:minimal-21_04-daily:21.04.202201070          21.04.202201070
0001-com-ubuntu-minimal-hirsute-daily         Canonical    minimal-21_04-daily           Canonical:0001-com-ubuntu-minimal-hirsute-daily:minimal-21_04-daily:21.04.202201112          21.04.202201112
0001-com-ubuntu-minimal-hirsute-daily         Canonical    minimal-21_04-daily           Canonical:0001-com-ubuntu-minimal-hirsute-daily:minimal-21_04-daily:21.04.202201130          21.04.202201130
0001-com-ubuntu-minimal-hirsute-daily         Canonical    minimal-21_04-daily           Canonical:0001-com-ubuntu-minimal-hirsute-daily:minimal-21_04-daily:21.04.202201190          21.04.202201190
0001-com-ubuntu-minimal-hirsute-daily         Canonical    minimal-21_04-daily-gen2      Canonical:0001-com-ubuntu-minimal-hirsute-daily:minimal-21_04-daily-gen2:21.04.202112150     21.04.202112150
0001-com-ubuntu-minimal-hirsute-daily         Canonical    minimal-21_04-daily-gen2      Canonical:0001-com-ubuntu-minimal-hirsute-daily:minimal-21_04-daily-gen2:21.04.202112160     21.04.202112160
0001-com-ubuntu-minimal-hirsute-daily         Canonical    minimal-21_04-daily-gen2      Canonical:0001-com-ubuntu-minimal-hirsute-daily:minimal-21_04-daily-gen2:21.04.202201050     21.04.202201050
0001-com-ubuntu-minimal-hirsute-daily         Canonical    minimal-21_04-daily-gen2      Canonical:0001-com-ubuntu-minimal-hirsute-daily:minimal-21_04-daily-gen2:21.04.202201070     21.04.202201070
0001-com-ubuntu-minimal-hirsute-daily         Canonical    minimal-21_04-daily-gen2      Canonical:0001-com-ubuntu-minimal-hirsute-daily:minimal-21_04-daily-gen2:21.04.202201112     21.04.202201112
0001-com-ubuntu-minimal-hirsute-daily         Canonical    minimal-21_04-daily-gen2      Canonical:0001-com-ubuntu-minimal-hirsute-daily:minimal-21_04-daily-gen2:21.04.202201130     21.04.202201130
0001-com-ubuntu-minimal-hirsute-daily         Canonical    minimal-21_04-daily-gen2      Canonical:0001-com-ubuntu-minimal-hirsute-daily:minimal-21_04-daily-gen2:21.04.202201190     21.04.202201190
0001-com-ubuntu-minimal-impish-daily          Canonical    minimal-21_10-daily           Canonical:0001-com-ubuntu-minimal-impish-daily:minimal-21_10-daily:21.10.202201260           21.10.202201260
0001-com-ubuntu-minimal-impish-daily          Canonical    minimal-21_10-daily           Canonical:0001-com-ubuntu-minimal-impish-daily:minimal-21_10-daily:21.10.202202010           21.10.202202010
0001-com-ubuntu-minimal-impish-daily          Canonical    minimal-21_10-daily           Canonical:0001-com-ubuntu-minimal-impish-daily:minimal-21_10-daily:21.10.202202090           21.10.202202090
0001-com-ubuntu-minimal-impish-daily          Canonical    minimal-21_10-daily           Canonical:0001-com-ubuntu-minimal-impish-daily:minimal-21_10-daily:21.10.202202100           21.10.202202100
0001-com-ubuntu-minimal-impish-daily          Canonical    minimal-21_10-daily           Canonical:0001-com-ubuntu-minimal-impish-daily:minimal-21_10-daily:21.10.202202160           21.10.202202160
0001-com-ubuntu-minimal-impish-daily          Canonical    minimal-21_10-daily           Canonical:0001-com-ubuntu-minimal-impish-daily:minimal-21_10-daily:21.10.202202190           21.10.202202190
0001-com-ubuntu-minimal-impish-daily          Canonical    minimal-21_10-daily           Canonical:0001-com-ubuntu-minimal-impish-daily:minimal-21_10-daily:21.10.202202220           21.10.202202220
0001-com-ubuntu-minimal-impish-daily          Canonical    minimal-21_10-daily-gen2      Canonical:0001-com-ubuntu-minimal-impish-daily:minimal-21_10-daily-gen2:21.10.202201260      21.10.202201260
0001-com-ubuntu-minimal-impish-daily          Canonical    minimal-21_10-daily-gen2      Canonical:0001-com-ubuntu-minimal-impish-daily:minimal-21_10-daily-gen2:21.10.202202010      21.10.202202010
0001-com-ubuntu-minimal-impish-daily          Canonical    minimal-21_10-daily-gen2      Canonical:0001-com-ubuntu-minimal-impish-daily:minimal-21_10-daily-gen2:21.10.202202090      21.10.202202090
0001-com-ubuntu-minimal-impish-daily          Canonical    minimal-21_10-daily-gen2      Canonical:0001-com-ubuntu-minimal-impish-daily:minimal-21_10-daily-gen2:21.10.202202100      21.10.202202100
0001-com-ubuntu-minimal-impish-daily          Canonical    minimal-21_10-daily-gen2      Canonical:0001-com-ubuntu-minimal-impish-daily:minimal-21_10-daily-gen2:21.10.202202160      21.10.202202160
0001-com-ubuntu-minimal-impish-daily          Canonical    minimal-21_10-daily-gen2      Canonical:0001-com-ubuntu-minimal-impish-daily:minimal-21_10-daily-gen2:21.10.202202190      21.10.202202190
0001-com-ubuntu-minimal-impish-daily          Canonical    minimal-21_10-daily-gen2      Canonical:0001-com-ubuntu-minimal-impish-daily:minimal-21_10-daily-gen2:21.10.202202220      21.10.202202220
0001-com-ubuntu-minimal-jammy-daily           Canonical    minimal-22_04-daily-lts       Canonical:0001-com-ubuntu-minimal-jammy-daily:minimal-22_04-daily-lts:22.04.202202020        22.04.202202020
0001-com-ubuntu-minimal-jammy-daily           Canonical    minimal-22_04-daily-lts       Canonical:0001-com-ubuntu-minimal-jammy-daily:minimal-22_04-daily-lts:22.04.202202030        22.04.202202030
0001-com-ubuntu-minimal-jammy-daily           Canonical    minimal-22_04-daily-lts       Canonical:0001-com-ubuntu-minimal-jammy-daily:minimal-22_04-daily-lts:22.04.202202080        22.04.202202080
0001-com-ubuntu-minimal-jammy-daily           Canonical    minimal-22_04-daily-lts       Canonical:0001-com-ubuntu-minimal-jammy-daily:minimal-22_04-daily-lts:22.04.202202090        22.04.202202090
0001-com-ubuntu-minimal-jammy-daily           Canonical    minimal-22_04-daily-lts       Canonical:0001-com-ubuntu-minimal-jammy-daily:minimal-22_04-daily-lts:22.04.202202110        22.04.202202110
0001-com-ubuntu-minimal-jammy-daily           Canonical    minimal-22_04-daily-lts       Canonical:0001-com-ubuntu-minimal-jammy-daily:minimal-22_04-daily-lts:22.04.202202180        22.04.202202180
0001-com-ubuntu-minimal-jammy-daily           Canonical    minimal-22_04-daily-lts       Canonical:0001-com-ubuntu-minimal-jammy-daily:minimal-22_04-daily-lts:22.04.202202190        22.04.202202190
0001-com-ubuntu-minimal-jammy-daily           Canonical    minimal-22_04-daily-lts-gen2  Canonical:0001-com-ubuntu-minimal-jammy-daily:minimal-22_04-daily-lts-gen2:22.04.202202020   22.04.202202020
0001-com-ubuntu-minimal-jammy-daily           Canonical    minimal-22_04-daily-lts-gen2  Canonical:0001-com-ubuntu-minimal-jammy-daily:minimal-22_04-daily-lts-gen2:22.04.202202030   22.04.202202030
0001-com-ubuntu-minimal-jammy-daily           Canonical    minimal-22_04-daily-lts-gen2  Canonical:0001-com-ubuntu-minimal-jammy-daily:minimal-22_04-daily-lts-gen2:22.04.202202080   22.04.202202080
0001-com-ubuntu-minimal-jammy-daily           Canonical    minimal-22_04-daily-lts-gen2  Canonical:0001-com-ubuntu-minimal-jammy-daily:minimal-22_04-daily-lts-gen2:22.04.202202090   22.04.202202090
0001-com-ubuntu-minimal-jammy-daily           Canonical    minimal-22_04-daily-lts-gen2  Canonical:0001-com-ubuntu-minimal-jammy-daily:minimal-22_04-daily-lts-gen2:22.04.202202110   22.04.202202110
0001-com-ubuntu-minimal-jammy-daily           Canonical    minimal-22_04-daily-lts-gen2  Canonical:0001-com-ubuntu-minimal-jammy-daily:minimal-22_04-daily-lts-gen2:22.04.202202180   22.04.202202180
0001-com-ubuntu-minimal-jammy-daily           Canonical    minimal-22_04-daily-lts-gen2  Canonical:0001-com-ubuntu-minimal-jammy-daily:minimal-22_04-daily-lts-gen2:22.04.202202190   22.04.202202190
0001-com-ubuntu-private-fips-motorola         Canonical    private-fips-20_04            Canonical:0001-com-ubuntu-private-fips-motorola:private-fips-20_04:20.04.202104090           20.04.202104090
0001-com-ubuntu-private-fips-motorola         Canonical    private-fips-20_04            Canonical:0001-com-ubuntu-private-fips-motorola:private-fips-20_04:20.04.202105180           20.04.202105180
0001-com-ubuntu-private-fips-motorola         Canonical    private-fips-20_04            Canonical:0001-com-ubuntu-private-fips-motorola:private-fips-20_04:20.04.202109170           20.04.202109170
0001-com-ubuntu-private-fips-motorola         Canonical    private-fips-20_04-gen2       Canonical:0001-com-ubuntu-private-fips-motorola:private-fips-20_04-gen2:20.04.202105180      20.04.202105180
0001-com-ubuntu-private-fips-motorola         Canonical    private-fips-20_04-gen2       Canonical:0001-com-ubuntu-private-fips-motorola:private-fips-20_04-gen2:20.04.202109170      20.04.202109170
0001-com-ubuntu-pro-advanced-sla              Canonical    16_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:16_04:16.04.20200319                              16.04.20200319
0001-com-ubuntu-pro-advanced-sla              Canonical    16_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:16_04:16.04.20200602                              16.04.20200602
0001-com-ubuntu-pro-advanced-sla              Canonical    16_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:16_04:16.04.20200729                              16.04.20200729
0001-com-ubuntu-pro-advanced-sla              Canonical    16_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:16_04:16.04.20200908                              16.04.20200908
0001-com-ubuntu-pro-advanced-sla              Canonical    16_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:16_04:16.04.20201014                              16.04.20201014
0001-com-ubuntu-pro-advanced-sla              Canonical    16_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:16_04:16.04.202101190                             16.04.202101190
0001-com-ubuntu-pro-advanced-sla              Canonical    16_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:16_04:16.04.202103100                             16.04.202103100
0001-com-ubuntu-pro-advanced-sla              Canonical    16_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:16_04:16.04.202104160                             16.04.202104160
0001-com-ubuntu-pro-advanced-sla              Canonical    16_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:16_04:16.04.202104290                             16.04.202104290
0001-com-ubuntu-pro-advanced-sla              Canonical    16_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:16_04:16.04.202106110                             16.04.202106110
0001-com-ubuntu-pro-advanced-sla              Canonical    16_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:16_04:16.04.202106230                             16.04.202106230
0001-com-ubuntu-pro-advanced-sla              Canonical    16_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:16_04:16.04.202108040                             16.04.202108040
0001-com-ubuntu-pro-advanced-sla              Canonical    16_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:16_04:16.04.202109280                             16.04.202109280
0001-com-ubuntu-pro-advanced-sla              Canonical    16_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:16_04:16.04.202202110                             16.04.202202110
0001-com-ubuntu-pro-advanced-sla              Canonical    16_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:16_04:16.04.202202230                             16.04.202202230
0001-com-ubuntu-pro-advanced-sla              Canonical    16_04-gen2                    Canonical:0001-com-ubuntu-pro-advanced-sla:16_04-gen2:16.04.202104290                        16.04.202104290
0001-com-ubuntu-pro-advanced-sla              Canonical    16_04-gen2                    Canonical:0001-com-ubuntu-pro-advanced-sla:16_04-gen2:16.04.202106110                        16.04.202106110
0001-com-ubuntu-pro-advanced-sla              Canonical    16_04-gen2                    Canonical:0001-com-ubuntu-pro-advanced-sla:16_04-gen2:16.04.202106230                        16.04.202106230
0001-com-ubuntu-pro-advanced-sla              Canonical    16_04-gen2                    Canonical:0001-com-ubuntu-pro-advanced-sla:16_04-gen2:16.04.202108040                        16.04.202108040
0001-com-ubuntu-pro-advanced-sla              Canonical    16_04-gen2                    Canonical:0001-com-ubuntu-pro-advanced-sla:16_04-gen2:16.04.202109280                        16.04.202109280
0001-com-ubuntu-pro-advanced-sla              Canonical    16_04-gen2                    Canonical:0001-com-ubuntu-pro-advanced-sla:16_04-gen2:16.04.202202110                        16.04.202202110
0001-com-ubuntu-pro-advanced-sla              Canonical    16_04-gen2                    Canonical:0001-com-ubuntu-pro-advanced-sla:16_04-gen2:16.04.202202230                        16.04.202202230
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:18_04:18.04.20200318                              18.04.20200318
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:18_04:18.04.20200605                              18.04.20200605
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:18_04:18.04.20200729                              18.04.20200729
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:18_04:18.04.20200908                              18.04.20200908
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:18_04:18.04.20201014                              18.04.20201014
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:18_04:18.04.202101191                             18.04.202101191
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:18_04:18.04.202103160                             18.04.202103160
0001-com-ubuntu-pro-advanced-sla              Canonical    18_04                         Canonical:0001-com-ubuntu-pro-advanced-sla:18_04:18.04.202103250                             18.04.202103250
